original_tweet,cleaned_tweet,sentiment
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',- di saat semua cowok berusaha melacak perhatian gue. kamu lantas remehkan perhatian yang gue kasih khusus ke elo. basic kamu cowok bego ! ! !',negative
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',rt user: pengguna siapa yang telat memberi tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga',negative
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter","41. kadang aku berfikir, kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali-kali. kadang aku merasa tuhan itu meninggalkan aku sendirian. ketika orang tuaku berencana berpisah, ketika kakakku lebih memilih jadi kristen. ketika aku anak ter",negative
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',pengguna pengguna aku itu aku ku tau matamu sipit tapi dilihat dari mana itu aku',negative
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',pengguna pengguna kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi hahahah',negative
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',pengguna ya bani taplak dan kawan kawan ',negative
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon,negative
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,gue baru saja selesai re-watch aldnoah zero!!! paling kampret memang endingnya! 2 karakter utama cowoknya kena friendzone bray! xd uniform resource locator,negative
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???","nah admin belanja satu lagi port terbaik nak makan ais kepal milo, ais kepal horlicks atau cendol toping kau kaw. ??; ; doket mana itu ? gerai rozak mertuaku - taipan 2 (depan kembar baby &amp; romantika / bank islam senawang) ???",negative
USER Enak lg klo smbil ngewe',pengguna enak lagi kalau sambil ngewe',negative
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'","setidaknya gue punya jari tengah buat lu, sebelum gue ukur nyali sama bacot kamu '",negative
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,pengguna pengguna pengguna pengguna banci kaleng malu tidak bisa jawab pertanyaan kami dari 2 hari lalu.... nyungsep koe pengguna uniform resource locator,negative
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,kalau belajar ekonomi mestinya jago memprivatisasi hati orang. duh.. ironi pengguna,negative
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,aktor huru hara 98 prabowo si ingin lengserkan pemerintahan jokowi.... nyata,negative
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',pengguna bu guru enakan jadi jablay atau guru sekolah dasar sih. kayaknya menikmati jadi pecun ini guru.',negative
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'","pengguna pengguna pengguna pengguna pengguna pengguna lawan bicara gue tidak intelek kayak loe, yang otak tidak punya. tentang kencing onta, gue mengakui hadis nabi dan itu sahih. kafir kayak kamu pasti menolak, makanya kamu ahlunnar.'",negative
Belakangan ini kok fikiran ampas banget ya',belakangan ini kok pikiran ampas banget ya',negative
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',ari sama beki adalah rapi monyet',negative
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',jadi cowok itu harus gantle kalau tidak gantle itu namanya banci !',negative
USER Slga mnr bom \xf0\x9f\x98\x82',pengguna alga mnr bom ',negative
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'","anjing ya tapi gue jarang ngambek, takut wkwk gue kan bucin.'",negative
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',pengguna kalau kamu noob pasti peluang disakiti nya lebih gede si',negative
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g","pengguna joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia. hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak",negative
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,pelajar sama kecamatan bilah hilir deklarasi anti hoaks &amp; pilihan kepala daerah 2018 damai,negative
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat. insya allah siap beroperasi bulan depan;,negative
"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...","siapapun gubernur dan presidennya, rakyatnya, ya kita² juga...",negative
Ini si USER kerjaannya delay mulu! Setan!',ini sih pengguna kerjaannya delay mulu! setan!',negative
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget,negative
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,rt pengguna pengguna pengguna partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong.,negative
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',pengguna pengguna itu adalah sudah nenek-nenek saya heran sama cebong biasanya bohong terus',negative
"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,","pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna islam nusantara produk jil, dipasarkan dengan gencar oleh antek jil. sementara jil anti arab, tapi pro aseng! kata (alm) kh. hasyim muzadi,",negative
